no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,3,0,0,0,285,2018,10,3,3,0,0,0,100.0,0,0
2,1,0,3,0,0,0,86,2018,12,8,4,0,0,0,122.0,0,0
2,1,0,1,0,0,0,0,2018,7,5,4,0,0,0,159.0,0,1
1,0,0,3,0,0,0,55,2018,12,8,4,0,0,0,86.4,2,1
3,0,0,3,0,1,3,4,2018,7,27,4,0,0,0,177.0,1,1
2,0,1,1,0,0,0,26,2018,11,19,4,0,0,0,104.0,1,0
2,0,0,3,0,0,0,27,2018,5,10,4,0,0,0,141.0,0,0
2,0,0,1,3,0,0,32,2018,11,26,4,0,0,0,88.0,0,0
2,0,2,2,3,0,0,42,2018,12,9,4,0,0,0,74.8,1,1
2,0,0,4,0,0,0,63,2018,11,1,4,0,0,0,93.6,1,1
2,0,0,3,0,0,0,302,2018,12,29,4,0,0,0,90.3,2,0
2,0,0,4,0,0,0,36,2018,5,11,4,0,0,0,126.9,1,1
1,0,1,0,0,0,0,19,2018,11,14,2,0,0,0,65.0,0,1
2,0,2,1,0,0,0,2,2018,2,21,3,0,0,0,82.0,0,1
3,0,2,1,0,0,3,137,2018,2,7,3,0,0,0,93.0,2,1
2,1,2,0,0,0,0,40,2018,11,6,3,0,0,0,134.0,0,1
1,0,0,1,0,0,0,6,2018,6,8,2,1,0,4,65.0,1,1
2,0,2,1,3,0,0,26,2018,10,2,4,0,0,0,133.0,0,1
2,0,2,2,0,0,3,77,2018,4,16,4,0,0,0,107.95,0,0
2,0,0,1,3,0,0,139,2018,7,2,4,0,0,0,85.5,0,0
2,0,1,4,0,0,0,13,2017,10,12,4,0,0,0,126.0,1,1
2,0,0,2,1,0,0,39,2017,8,14,3,0,0,0,101.5,0,1
2,0,0,3,0,0,0,193,2017,10,15,4,0,0,0,65.0,0,0
2,0,0,1,0,0,0,14,2018,12,28,4,0,0,0,138.0,1,1
2,0,1,2,1,0,0,418,2018,9,26,3,0,0,0,107.0,0,0
2,1,2,3,0,0,0,15,2018,3,12,4,0,0,0,116.2,2,1
2,0,1,4,0,0,4,54,2018,3,28,4,0,0,0,95.36,0,1
2,0,1,3,0,0,0,38,2017,9,14,4,0,0,0,94.5,2,1
2,0,0,3,3,0,0,15,2018,5,31,4,0,0,0,109.0,1,1
2,0,1,4,0,0,3,40,2018,3,14,4,0,0,0,98.82,0,1
2,0,0,4,0,0,0,270,2018,4,20,3,0,0,0,62.8,0,0
2,0,0,3,0,0,3,64,2018,9,15,4,0,0,0,149.4,2,1
2,0,2,1,1,0,0,103,2017,7,18,4,0,0,0,94.5,0,0
1,0,1,2,0,0,0,57,2018,11,18,4,0,0,0,86.4,1,0
1,0,1,0,0,0,0,0,2018,5,23,3,0,0,0,115.0,1,1
1,0,0,2,0,0,0,1,2018,12,15,4,0,0,0,88.0,1,1
1,0,1,2,0,0,0,224,2017,10,2,3,0,0,0,60.0,0,1
2,0,0,2,1,0,0,273,2017,7,17,4,0,0,0,109.0,0,0
2,0,0,1,0,0,0,180,2017,10,16,3,0,0,0,70.0,0,0
2,0,2,5,0,0,0,139,2018,7,5,3,0,0,0,72.25,0,0
2,0,1,2,0,0,0,418,2018,9,26,3,0,0,0,75.0,0,0
2,0,1,3,3,0,0,64,2018,6,20,4,0,0,0,68.61,1,1
2,0,0,2,0,0,1,124,2018,6,30,4,0,0,0,88.76,1,1
1,0,1,2,0,0,3,56,2018,11,7,4,0,0,0,209.0,2,1
2,0,0,2,0,0,0,59,2018,5,13,4,0,0,0,126.9,0,0
2,0,2,0,1,0,0,386,2018,10,23,3,0,0,0,115.0,1,0
2,0,2,1,0,0,0,17,2017,10,17,4,0,0,0,106.77,1,1
2,0,0,3,0,0,3,50,2018,5,17,4,0,0,0,140.4,1,1
1,0,0,2,0,0,0,188,2018,6,15,3,0,0,0,130.0,0,0
2,0,2,6,0,0,0,70,2018,7,12,3,0,0,0,93.6,0,0
2,0,2,3,0,0,0,24,2017,12,24,3,0,0,0,58.0,1,1
1,0,0,1,0,0,0,1,2018,1,12,2,1,0,5,66.0,0,1
2,1,0,2,0,0,0,44,2018,6,28,4,0,0,0,134.1,0,0
2,0,0,3,0,0,0,102,2018,5,3,4,0,0,0,108.3,1,1
2,0,0,1,0,0,0,64,2018,9,24,3,0,0,0,85.0,0,1
1,0,0,2,0,0,0,14,2017,10,15,3,0,0,0,100.0,0,1
2,2,0,3,0,0,5,22,2018,6,16,4,0,0,0,221.0,0,0
2,0,1,0,3,0,0,49,2018,7,11,4,0,0,0,93.15,0,0
2,0,0,1,0,0,0,1,2017,9,3,4,0,0,0,105.0,0,1
2,0,2,1,1,0,0,138,2017,8,22,3,0,0,0,94.5,0,0
2,0,0,2,1,0,0,28,2018,1,8,3,0,0,0,97.0,0,1
2,0,1,0,3,0,0,46,2018,10,30,4,0,0,0,99.0,0,0
2,0,1,4,0,0,0,124,2018,8,8,4,0,0,0,114.3,0,0
2,0,2,2,0,0,0,45,2018,6,19,4,0,0,0,79.33,1,1
2,0,0,2,1,0,0,74,2017,9,18,3,0,0,0,101.5,0,1
2,0,2,2,0,0,0,75,2018,9,17,3,0,0,0,80.75,0,1
1,0,0,4,0,0,3,92,2018,6,1,4,0,0,0,132.6,2,1
2,0,1,0,0,0,0,286,2018,10,16,4,0,0,0,90.0,0,0
2,0,1,0,3,0,0,1,2018,12,5,4,0,0,0,88.0,1,1
3,0,0,2,0,0,3,16,2018,7,19,4,0,0,0,162.0,1,0
2,0,0,2,1,0,0,30,2017,9,30,3,0,0,0,121.0,0,1
2,0,2,1,3,0,0,18,2018,10,29,4,0,0,0,120.0,1,0
2,0,1,2,0,0,0,199,2018,11,4,3,0,0,0,68.0,1,1
2,0,1,5,1,0,0,94,2018,3,28,3,0,0,0,110.75,1,1
2,0,1,2,0,0,0,273,2018,5,13,3,0,0,0,95.0,0,0
2,0,0,3,0,0,0,143,2018,8,25,3,0,0,0,100.0,0,1
1,0,1,0,0,0,0,6,2018,2,1,4,1,3,1,86.0,0,1
2,0,2,0,3,0,0,11,2018,10,2,4,0,0,0,135.0,2,1
1,0,1,0,0,0,0,76,2018,10,10,3,0,0,0,120.0,0,0
1,0,0,2,1,0,0,273,2017,7,17,3,0,0,0,87.0,0,1
2,0,0,3,0,0,0,5,2018,1,13,3,0,0,0,66.0,0,1
3,0,2,3,0,0,3,36,2018,7,1,4,0,0,0,150.3,0,0
2,0,0,3,0,0,0,304,2018,11,3,3,0,0,0,89.0,0,0
2,0,2,2,0,0,0,68,2018,4,24,4,0,0,0,108.38,1,0
1,0,1,1,0,0,0,10,2018,7,4,2,0,0,0,137.7,0,1
2,0,1,3,1,0,0,21,2018,12,1,4,0,0,0,122.19,1,1
2,0,1,2,1,0,0,309,2018,5,13,4,0,0,0,101.0,0,0
2,0,0,2,1,0,0,292,2018,7,21,3,0,0,0,115.0,0,0
2,0,1,1,0,0,0,33,2018,1,25,2,0,0,0,64.0,0,1
1,0,1,0,0,0,0,9,2018,9,25,3,0,0,0,90.0,0,0
3,2,0,2,0,0,1,137,2018,8,30,4,0,0,0,93.7,1,1
2,0,1,2,3,0,0,30,2018,11,11,4,0,0,0,87.27,0,1
2,0,2,1,0,0,0,22,2017,12,26,4,0,0,0,59.09,0,1
1,0,1,0,0,0,0,25,2018,9,12,4,0,0,0,108.0,2,1
1,0,0,1,0,0,0,1,2018,4,12,0,0,0,0,95.0,0,0
2,0,1,2,0,0,3,63,2018,9,12,4,0,0,0,149.4,2,1
2,0,0,5,3,0,0,171,2018,8,2,4,0,0,0,89.25,0,0
2,0,0,2,0,0,0,30,2018,6,2,3,0,0,0,140.0,0,1
2,0,0,1,3,0,0,86,2018,4,26,4,0,0,0,85.5,1,1
1,0,2,2,0,0,0,163,2018,6,5,3,0,0,0,100.0,0,0
3,0,0,3,0,0,3,109,2018,6,8,4,0,0,0,129.59,2,1
2,0,2,1,1,0,0,96,2017,7,11,3,0,0,0,94.5,0,0
2,0,0,3,0,0,0,279,2018,10,12,3,0,0,0,110.0,0,0
2,0,1,4,0,1,0,5,2018,3,21,4,0,0,0,128.0,1,1
2,0,2,1,0,0,3,31,2018,4,23,3,0,0,0,87.04,0,1
2,0,2,3,0,0,0,62,2018,11,20,3,0,0,0,75.0,0,1
3,0,1,3,0,0,3,111,2018,8,1,4,0,0,0,137.7,0,0
1,0,0,2,0,0,0,12,2018,6,8,3,0,0,0,90.0,1,1
2,0,0,1,0,1,3,41,2018,1,16,4,0,0,0,93.45,1,1
2,0,2,1,3,0,0,167,2018,10,1,4,0,0,0,98.1,0,0
1,0,0,3,0,0,3,11,2018,6,14,2,0,0,0,90.0,0,1
1,0,1,0,3,0,0,0,2018,7,3,4,0,0,0,92.86,0,1
1,0,2,3,0,0,0,6,2018,9,3,4,0,0,0,137.0,0,0
2,0,2,1,1,0,0,150,2018,1,2,3,0,0,0,101.0,0,1
1,0,1,0,0,0,0,76,2018,10,10,4,0,0,0,120.0,0,0
2,0,1,2,0,0,3,18,2018,7,8,4,0,0,0,166.0,0,0
2,0,2,1,1,0,0,103,2017,7,18,3,0,0,0,94.5,0,0
2,0,0,1,3,0,0,182,2018,10,12,4,0,0,0,98.1,0,0
1,0,0,2,0,0,0,192,2018,6,24,3,0,0,0,95.0,0,1
0,2,2,3,0,0,1,185,2018,8,25,4,0,0,0,84.82,0,0
2,0,2,3,0,0,0,50,2017,10,18,4,0,0,0,94.5,1,1
2,0,2,0,3,0,0,34,2018,9,25,4,0,0,0,99.0,1,1
2,0,0,2,0,0,0,56,2018,11,11,4,0,0,0,97.2,0,1
2,0,2,3,0,0,0,46,2018,5,19,3,0,0,0,86.5,0,1
2,0,1,2,0,0,0,193,2018,6,20,3,0,0,0,120.0,0,0
2,0,2,2,0,0,0,11,2017,10,23,3,0,0,0,88.5,0,1
3,0,0,1,0,0,3,60,2018,3,29,4,0,0,0,123.3,1,0
1,0,0,1,0,0,0,22,2017,12,18,2,0,0,0,65.0,0,1
2,0,2,3,0,0,0,244,2018,10,30,4,0,0,0,85.85,0,0
2,0,1,1,0,0,0,7,2017,9,19,4,0,0,0,126.0,2,1
2,0,0,4,0,0,0,8,2017,9,9,3,0,0,0,54.75,0,1
1,0,1,2,0,0,0,118,2018,6,6,3,0,0,0,110.0,0,1
2,0,2,4,3,0,0,67,2018,4,3,4,0,0,0,80.75,0,1
2,0,1,2,0,0,0,124,2018,5,13,4,0,0,0,117.1,1,1
2,0,0,3,0,0,0,59,2018,11,2,4,0,0,0,71.1,2,1
3,0,1,3,0,0,3,64,2018,3,28,4,0,0,0,115.6,2,1
2,0,0,1,0,1,0,9,2018,9,8,4,0,0,0,168.0,3,1
1,0,0,1,0,0,0,0,2017,8,11,4,0,0,0,99.0,0,1
2,0,1,2,3,0,0,19,2018,9,23,4,0,0,0,139.0,1,1
2,0,2,4,0,0,3,56,2018,3,30,4,0,0,0,101.72,1,1
2,1,2,7,0,0,0,139,2018,7,13,4,0,0,0,86.92,0,0
2,0,1,1,0,0,0,3,2018,8,13,4,0,0,0,180.0,1,1
2,0,0,1,3,0,0,10,2018,11,25,4,0,0,0,95.0,0,0
2,0,0,2,0,0,0,18,2018,1,12,4,0,0,0,73.95,0,1
1,0,1,0,0,0,0,6,2018,10,3,2,0,0,0,89.0,0,1
3,0,1,2,0,0,3,83,2018,11,4,4,0,0,0,122.4,2,1
2,0,1,1,0,0,3,44,2018,6,18,3,0,0,0,96.3,0,1
2,0,2,2,0,0,3,83,2018,4,16,4,0,0,0,103.7,0,1
3,0,0,3,0,0,0,48,2018,3,29,3,0,0,0,105.0,1,1
2,0,1,2,3,0,0,53,2018,12,16,4,0,0,0,79.2,1,1
1,0,0,3,1,0,0,150,2018,6,16,4,0,0,0,70.0,0,0
2,0,0,2,3,0,0,5,2018,2,26,4,0,0,0,81.0,1,1
1,0,1,1,0,0,0,85,2018,12,3,4,0,0,0,98.0,0,1
1,0,0,3,0,0,0,14,2017,9,15,4,0,0,0,114.0,1,1
1,0,0,5,0,0,0,230,2018,9,6,3,0,0,0,111.0,0,0
2,0,2,7,0,0,3,8,2018,3,22,4,0,0,0,158.22,0,0
2,0,2,0,3,0,0,101,2018,5,1,4,0,0,0,103.5,1,1
3,0,0,2,0,0,3,57,2018,12,9,4,0,0,0,126.0,2,1
2,0,0,2,0,0,0,122,2018,4,15,3,0,0,0,85.0,0,1
2,0,0,3,0,0,0,105,2018,10,12,3,0,0,0,75.0,0,1
2,0,2,1,0,0,0,139,2018,8,7,4,0,0,0,123.3,1,1
2,0,2,2,0,0,0,282,2018,10,29,4,0,0,0,88.83,1,0
2,0,0,4,0,0,0,60,2017,12,9,4,0,0,0,96.3,1,1
1,0,2,0,3,0,0,4,2018,9,25,4,0,0,0,118.58,1,1
2,0,2,3,0,0,0,276,2018,5,13,3,0,0,0,61.0,0,0
2,0,1,0,3,0,0,5,2018,5,29,4,0,0,0,89.0,1,1
2,0,0,2,3,0,0,27,2018,1,29,4,0,0,0,77.0,1,1
2,0,0,3,0,0,0,162,2017,9,17,3,0,0,0,70.0,0,1
2,0,0,2,3,0,0,80,2018,11,18,4,0,0,0,63.36,0,0
2,0,1,1,3,0,0,151,2018,8,13,4,0,0,0,103.5,0,0
2,1,0,3,0,0,0,42,2018,3,22,3,0,0,0,76.05,1,1
2,0,1,3,0,0,3,17,2018,12,29,4,0,0,0,125.8,1,1
2,0,1,2,0,0,3,12,2018,2,5,4,1,11,21,108.0,1,1
3,0,1,0,0,0,3,28,2018,5,29,4,0,0,0,157.0,2,1
2,0,1,2,0,0,0,73,2017,7,13,4,0,0,0,76.5,0,0
1,0,0,1,0,0,0,14,2017,10,15,3,0,0,0,100.0,0,1
2,0,0,1,0,1,0,4,2018,11,5,4,0,0,0,120.0,2,1
1,0,0,1,3,0,0,0,2017,8,6,4,0,0,0,81.0,0,1
2,0,0,3,3,0,0,85,2018,6,30,4,0,0,0,103.5,0,0
1,0,0,1,0,0,0,4,2018,12,13,4,0,0,0,97.0,2,1
2,0,1,2,0,0,0,65,2018,4,1,4,0,0,0,67.81,1,1
1,0,1,1,3,0,0,96,2018,10,3,4,0,0,0,108.0,0,0
1,0,0,1,0,0,0,1,2018,10,13,3,0,0,0,99.0,0,1
1,0,1,0,0,0,3,61,2018,12,19,3,0,0,0,78.2,0,1
2,0,2,2,0,0,0,153,2018,7,23,4,0,0,0,108.45,1,0
3,0,0,2,0,0,3,93,2018,7,12,4,0,0,0,137.7,2,1
2,0,0,2,3,0,0,36,2018,7,1,4,0,0,0,107.1,1,1
1,0,1,3,0,0,0,15,2018,6,20,4,0,0,0,125.0,1,1
2,0,1,3,0,0,3,53,2018,10,31,4,0,0,0,122.0,4,1
3,0,1,1,0,0,0,105,2018,12,26,4,0,0,0,95.37,1,1
2,0,1,3,1,1,3,12,2018,3,24,4,0,0,0,208.0,1,1
2,0,0,1,0,1,3,4,2018,11,19,1,0,0,0,0.0,1,1
2,0,0,4,0,0,0,159,2017,12,29,3,0,0,0,70.5,0,1
2,0,0,3,0,0,3,130,2018,9,29,4,0,0,0,139.5,2,0
1,0,2,2,0,0,0,147,2018,7,15,4,0,0,0,89.25,0,1
2,0,2,0,0,0,3,29,2018,9,4,4,0,0,0,130.15,1,0
2,1,1,3,0,0,3,3,2018,2,15,4,0,0,0,106.0,2,1
2,0,0,5,0,0,0,63,2017,10,27,4,0,0,0,72.25,3,1
2,0,0,1,0,0,0,0,2018,3,1,4,0,0,0,101.0,0,1
2,0,0,3,0,0,0,61,2018,12,8,4,0,0,0,93.6,1,1
2,0,1,2,0,0,0,267,2018,9,30,3,0,0,0,95.0,0,0
2,0,0,3,0,0,0,70,2018,6,9,4,0,0,0,126.9,0,1
2,0,0,3,0,0,0,276,2018,9,22,3,0,0,0,116.33,0,0
1,0,0,1,0,0,0,17,2017,10,30,3,0,0,0,95.0,0,1
2,0,0,2,0,0,0,35,2018,12,20,4,0,0,0,93.6,0,0
2,0,1,3,1,0,0,62,2017,7,20,3,0,0,0,104.0,0,1
2,0,1,5,0,0,0,69,2018,8,15,4,0,0,0,135.9,1,1
2,0,0,4,0,0,0,270,2018,4,20,4,0,0,0,62.8,0,0
2,0,1,3,0,0,0,85,2018,10,6,3,0,0,0,85.0,1,1
2,0,2,2,0,0,0,229,2018,10,22,4,0,0,0,89.25,0,0
1,0,0,3,0,0,0,37,2018,10,13,3,0,0,0,95.0,0,1
2,0,0,1,0,0,0,2,2018,3,30,4,0,0,0,101.0,2,1
2,0,2,2,0,0,3,56,2018,9,3,4,0,0,0,120.38,1,1
2,0,2,4,0,0,0,150,2018,7,24,4,0,0,0,99.45,2,1
2,0,1,3,0,0,0,210,2017,10,8,3,0,0,0,72.75,0,1
2,0,1,0,0,0,0,80,2018,4,25,4,0,0,0,96.3,0,0
1,0,0,2,3,0,0,9,2018,3,29,4,0,0,0,84.0,1,1
1,0,0,1,1,0,0,219,2017,9,4,3,0,0,0,84.0,0,1
3,0,0,2,0,0,0,24,2017,7,9,4,0,0,0,100.0,0,0
2,0,0,3,0,0,0,37,2018,10,13,3,0,0,0,105.0,0,1
2,0,4,6,0,0,0,207,2018,8,20,3,0,0,0,72.25,0,1
1,0,1,2,0,0,0,180,2018,10,10,3,0,0,0,120.0,0,0
2,0,2,3,0,0,3,14,2018,3,31,4,0,0,0,140.0,0,1
2,0,0,3,0,0,0,7,2017,8,5,3,0,0,0,66.0,1,1
1,0,0,3,1,0,0,88,2018,5,3,3,0,0,0,96.0,0,1
1,0,1,2,0,0,4,206,2018,9,19,2,0,0,0,106.0,0,0
1,0,0,1,0,0,0,8,2018,9,1,4,0,0,0,139.0,0,1
2,0,0,3,3,0,3,0,2017,9,3,4,0,0,0,121.33,0,1
2,0,0,2,0,0,0,86,2017,9,24,3,0,0,0,105.0,0,1
1,0,2,0,0,0,0,12,2018,5,29,4,0,0,0,97.02,1,1
2,0,0,1,0,0,0,0,2018,6,8,4,0,0,0,73.07,0,1
2,0,2,5,0,0,4,57,2018,4,22,4,0,0,0,105.25,0,1
3,0,0,2,0,0,0,46,2018,11,11,3,0,0,0,105.0,0,1
3,0,1,1,0,0,3,59,2018,9,24,4,0,0,0,168.3,0,0
1,0,1,0,0,0,3,2,2018,5,22,0,0,0,0,110.0,0,0
1,0,1,0,3,0,0,3,2018,12,19,4,1,0,2,55.6,0,1
2,0,1,3,0,0,3,83,2018,11,3,4,0,0,0,92.0,1,1
1,0,0,2,0,0,0,5,2018,5,24,2,0,0,0,100.0,0,1
2,0,1,2,1,0,0,161,2018,3,25,3,0,0,0,130.0,0,0
1,0,0,3,0,0,3,67,2018,5,31,4,0,0,0,140.4,1,1
2,0,1,4,0,0,0,275,2018,10,5,4,0,0,0,90.0,0,0
2,0,0,2,0,0,0,111,2018,11,8,4,0,0,0,59.5,0,0
2,0,0,2,1,0,0,320,2018,8,18,4,0,0,0,115.0,1,0
2,0,2,2,0,0,3,30,2018,2,5,4,0,0,0,89.3,1,1
3,0,0,3,0,0,0,28,2017,11,17,3,0,0,0,51.6,1,1
2,2,0,2,0,0,6,11,2017,12,11,1,0,0,0,0.0,3,1
2,0,2,0,3,0,0,9,2018,8,14,4,0,0,0,153.0,2,1
2,0,1,3,0,0,0,11,2018,1,21,4,0,0,0,89.0,1,1
2,2,0,1,0,0,5,36,2018,12,30,4,0,0,0,206.0,0,1
2,2,2,0,0,1,5,112,2018,8,14,4,0,0,0,198.9,1,1
2,0,1,0,3,0,0,284,2018,12,12,4,0,0,0,67.5,0,0
2,0,0,3,3,0,0,2,2018,12,20,4,0,0,0,79.5,1,1
1,0,1,0,0,0,0,3,2018,4,25,2,1,0,4,65.0,0,1
2,0,2,8,0,0,0,200,2018,9,20,4,0,0,0,129.54,0,0
2,0,1,3,3,0,0,137,2018,11,14,4,0,0,0,75.9,0,0
2,0,1,1,0,0,0,57,2018,5,21,4,0,0,0,126.9,2,1
2,0,1,0,0,0,0,258,2018,10,16,4,0,0,0,110.0,0,0
3,0,2,2,0,0,3,47,2018,7,2,4,0,0,0,114.48,2,1
2,0,2,8,3,0,0,7,2018,12,13,4,0,0,0,74.8,1,1
2,0,2,1,0,0,0,63,2018,3,5,4,0,0,0,80.3,0,1
2,0,0,3,0,0,0,96,2017,12,29,3,0,0,0,70.0,0,1
1,0,2,3,0,0,0,4,2018,9,18,1,0,0,0,0.0,0,1
2,2,0,2,0,0,5,6,2018,4,8,4,0,0,0,196.0,0,0
1,0,0,0,0,0,0,5,2017,12,1,1,0,0,0,0.0,0,1
2,0,0,4,0,0,3,58,2018,6,28,4,0,0,0,131.4,1,1
2,0,0,3,0,0,3,92,2018,7,28,4,0,0,0,121.8,0,0
1,0,0,1,3,0,0,2,2018,6,30,4,0,0,0,127.0,0,1
2,1,1,1,0,0,0,152,2018,7,11,4,0,0,0,119.0,2,0
2,0,0,3,0,0,0,163,2018,9,8,3,0,0,0,110.0,0,0
2,0,2,9,0,0,0,136,2018,4,20,4,0,0,0,99.95,0,0
2,2,2,1,0,1,5,217,2018,8,7,4,0,0,0,177.3,1,0
2,0,0,1,3,0,0,183,2018,10,11,4,0,0,0,98.1,0,0
1,0,0,2,0,0,0,188,2018,6,15,4,0,0,0,130.0,0,0
2,0,0,1,0,0,0,8,2018,11,5,3,0,0,0,130.0,0,1
2,0,0,1,3,1,0,11,2018,2,5,4,0,0,0,90.0,0,1
2,0,2,1,0,0,0,19,2017,12,26,3,0,0,0,58.0,0,1
2,0,1,3,0,0,0,22,2017,9,17,4,0,0,0,119.25,3,1
1,0,0,1,3,0,0,0,2018,10,25,4,0,0,0,84.7,1,0
3,0,1,2,0,0,3,283,2018,12,23,4,0,0,0,110.7,2,1
2,0,1,0,0,0,0,39,2018,3,28,4,0,0,0,117.9,1,1
1,0,1,3,1,0,0,49,2018,6,27,3,0,0,0,72.0,0,1
2,0,0,2,3,0,0,4,2017,9,2,4,0,0,0,73.92,1,1
2,0,0,1,3,0,0,22,2018,6,22,4,0,0,0,129.0,0,0
1,0,0,2,0,0,0,6,2017,9,30,2,0,0,0,65.0,0,1
2,0,1,2,0,0,0,305,2018,11,4,3,0,0,0,89.0,0,0
2,0,0,1,3,0,0,37,2018,10,19,3,0,0,0,76.5,1,1
1,0,1,0,0,0,0,60,2018,4,25,2,0,0,0,65.0,0,1
2,0,1,0,0,0,0,0,2018,12,12,2,1,0,1,77.0,2,1
2,0,1,2,0,0,3,102,2018,4,4,4,0,0,0,96.3,0,1
2,0,0,1,0,0,0,105,2018,4,6,3,0,0,0,75.0,0,0
2,0,0,1,0,0,0,5,2018,8,20,4,0,0,0,130.0,1,1
2,0,0,4,0,0,0,64,2018,11,1,4,0,0,0,93.6,2,1
2,0,2,0,3,0,0,0,2018,3,20,4,0,0,0,109.0,0,1
2,0,1,2,3,0,0,244,2018,12,30,4,0,0,0,80.7,0,0
2,0,2,2,0,0,3,4,2018,11,26,4,0,0,0,75.51,0,1
2,0,2,6,3,0,0,106,2018,7,12,4,0,0,0,94.5,0,0
2,2,0,1,0,0,5,142,2018,8,27,4,0,0,0,168.3,2,0
1,0,1,2,0,0,0,42,2018,4,1,4,0,0,0,112.5,1,1
1,0,1,3,1,0,3,28,2018,10,6,4,0,0,0,205.0,1,1
