no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,2,0,0,0,0,36,2018,8,14,4,0.0,0.0,0.0,135.9,1,1
2,0,1,5,0,0,2,142,2018,9,20,4,0.0,0.0,0.0,143.1,0,0
2,1,2,2,0,0,0,92,2017,9,12,3,0.0,0.0,0.0,89.55,0,1
2,0,1,3,0,0,0,152,2018,5,2,4,0.0,0.0,0.0,76.58,1,0
1,0,2,5,0,0,0,163,2018,4,9,4,0.0,0.0,0.0,73.37,1,1
1,0,1,1,1,0,0,3,2018,5,21,3,0.0,0.0,0.0,91.0,1,1
2,0,2,5,0,0,0,187,2018,8,28,4,0.0,0.0,0.0,96.05,0,0
2,0,1,2,3,0,0,99,2018,11,7,4,0.0,0.0,0.0,161.1,2,1
2,0,0,1,0,0,0,0,2018,6,23,4,0.0,0.0,0.0,97.0,1,1
1,0,0,2,0,0,0,136,2018,8,26,4,0.0,0.0,0.0,90.9,1,1
2,0,1,1,0,0,1,16,2017,12,5,4,0.0,0.0,0.0,96.25,1,1
2,0,0,2,3,1,0,17,2018,9,15,4,0.0,0.0,0.0,128.0,2,1
2,0,0,1,0,0,0,105,2018,4,6,3,0.0,0.0,0.0,75.0,0,0
3,0,1,1,0,0,2,53,2018,7,9,4,0.0,0.0,0.0,148.5,0,0
2,0,0,1,0,0,0,14,2017,11,4,4,0.0,0.0,0.0,87.0,1,0
2,0,0,3,0,0,0,47,2018,4,28,4,0.0,0.0,0.0,120.0,0,1
2,0,1,1,0,0,0,75,2018,9,17,3,0.0,0.0,0.0,80.75,0,1
1,0,0,2,3,0,0,83,2018,5,18,4,0.0,0.0,0.0,83.59,0,1
3,0,1,4,0,0,2,71,2018,6,1,3,0.0,0.0,0.0,115.6,0,0
2,0,2,1,0,0,0,35,2018,10,9,4,0.0,0.0,0.0,138.0,3,1
2,0,0,2,1,0,0,292,2018,7,21,3,0.0,0.0,0.0,112.0,0,0
2,0,1,2,0,0,0,229,2018,8,5,4,0.0,0.0,0.0,96.3,1,1
2,0,1,3,0,0,0,285,2018,10,3,3,0.0,0.0,0.0,100.0,0,0
2,0,0,3,3,0,0,43,2018,4,28,4,0.0,0.0,0.0,109.2,2,1
2,0,2,5,1,0,0,13,2017,10,22,3,0.0,0.0,0.0,131.97,0,1
1,0,2,3,0,0,0,3,2018,11,20,2,0.6931471805599453,1.791759469228055,3.970291913552122,65.0,2,1
1,0,1,0,0,0,0,111,2018,10,10,3,0.0,0.0,0.0,120.0,0,0
2,1,0,3,0,0,4,193,2018,12,29,4,0.0,0.0,0.0,160.2,0,1
3,0,0,3,0,0,2,103,2018,7,14,4,0.0,0.0,0.0,137.7,1,1
2,0,1,3,0,0,2,19,2017,10,1,4,0.0,0.0,0.0,121.75,1,1
2,1,1,1,0,0,0,0,2018,1,30,4,0.0,0.0,0.0,110.5,2,1
1,0,1,3,0,0,0,118,2018,6,6,3,0.0,0.0,0.0,110.0,0,1
2,0,1,1,0,0,2,16,2018,6,4,4,0.0,0.0,0.0,112.42,1,1
2,0,1,5,0,0,0,79,2018,4,4,4,0.0,0.0,0.0,67.85,1,1
1,0,0,2,0,0,2,51,2018,4,14,4,0.0,0.0,0.0,123.3,0,0
2,0,0,2,3,0,0,0,2018,8,19,4,0.0,0.0,0.0,148.0,0,1
2,0,1,2,0,0,0,81,2018,4,29,3,0.0,0.0,0.0,75.0,0,1
2,0,1,2,3,0,0,20,2018,6,13,4,0.0,0.0,0.0,109.0,1,1
2,0,1,3,3,0,0,64,2018,7,25,4,0.0,0.0,0.0,94.5,1,1
2,0,1,3,3,0,0,61,2018,3,17,4,0.0,0.0,0.0,78.41,0,0
2,0,1,2,0,0,2,16,2018,2,5,4,0.0,0.0,0.0,64.22,0,1
3,0,0,2,0,0,2,130,2018,6,9,4,0.0,0.0,0.0,159.3,0,0
2,0,1,2,0,0,0,31,2018,9,16,3,0.0,0.0,0.0,75.0,0,1
2,0,0,2,0,0,0,16,2017,10,1,4,0.0,0.0,0.0,107.0,0,1
2,2,2,3,0,0,4,97,2018,10,21,4,0.0,0.0,0.0,185.22,0,0
2,0,0,1,0,0,0,146,2018,8,5,3,0.0,0.0,0.0,81.25,1,1
1,0,0,1,0,0,0,28,2017,10,29,3,0.0,0.0,0.0,130.0,0,1
2,0,2,2,0,0,2,104,2018,4,8,4,0.0,0.0,0.0,90.95,0,0
2,0,2,5,0,0,0,204,2018,8,18,4,0.0,0.0,0.0,94.59,1,0
2,0,0,1,1,0,0,219,2017,9,4,3,0.0,0.0,0.0,108.0,0,0
2,0,1,2,0,0,0,193,2018,6,20,4,0.0,0.0,0.0,120.0,0,0
1,0,4,6,0,0,0,243,2018,9,4,4,0.0,0.0,0.0,89.17,0,0
2,0,0,3,0,0,0,183,2018,8,9,3,0.0,0.0,0.0,112.0,1,0
1,0,1,1,0,0,0,4,2018,8,29,3,0.0,0.0,0.0,80.0,0,1
1,0,1,0,3,0,0,3,2018,10,10,4,0.0,0.0,0.0,134.0,0,1
2,0,0,2,1,0,2,60,2018,9,29,4,0.0,0.0,0.0,149.77,3,1
1,0,1,5,0,0,0,16,2018,11,7,4,0.0,0.0,0.0,156.92,0,0
2,0,0,1,3,0,0,36,2018,5,7,4,0.0,0.0,0.0,104.49,0,1
2,2,0,2,0,0,4,11,2017,8,28,4,0.0,0.0,0.0,153.0,2,1
2,0,0,1,3,0,0,1,2018,7,20,4,0.0,0.0,0.0,108.0,0,1
2,0,2,1,0,0,0,159,2018,8,7,4,0.0,0.0,0.0,114.3,0,0
2,0,3,6,0,0,0,140,2017,8,10,4,0.0,0.0,0.0,76.5,2,1
1,0,0,1,0,0,0,2,2018,9,15,4,0.0,0.0,0.0,163.0,0,1
1,0,0,4,0,0,0,92,2017,10,7,3,0.0,0.0,0.0,65.0,0,1
2,0,1,2,0,0,0,304,2018,10,21,4,0.0,0.0,0.0,74.15,0,0
2,1,0,4,0,0,1,11,2017,9,8,3,0.0,0.0,0.0,78.94,2,1
2,0,0,3,0,0,0,279,2018,10,12,3,0.0,0.0,0.0,110.0,0,0
3,0,1,3,0,0,2,184,2018,10,17,4,0.0,0.0,0.0,128.7,2,0
2,0,0,4,0,0,0,115,2018,5,11,4,0.0,0.0,0.0,109.65,0,0
2,0,1,2,0,0,0,31,2017,12,28,3,0.0,0.0,0.0,80.0,0,1
2,1,0,1,0,0,0,110,2018,6,3,4,0.0,0.0,0.0,143.1,3,1
2,0,1,2,1,1,2,19,2018,3,11,4,0.0,0.0,0.0,171.0,2,1
2,1,2,5,0,0,0,187,2018,8,28,4,0.0,0.0,0.0,111.35,0,0
2,0,0,1,3,0,0,1,2018,7,20,4,0.0,0.0,0.0,108.0,1,1
2,0,1,1,0,0,0,168,2018,10,1,4,0.0,0.0,0.0,127.0,2,0
1,0,0,2,0,0,0,13,2018,11,8,2,0.0,0.0,0.0,170.0,0,1
2,0,2,1,0,0,2,118,2018,10,29,4,0.0,0.0,0.0,104.4,1,1
2,0,0,1,0,0,0,0,2018,2,24,4,0.0,0.0,0.0,97.0,0,1
2,0,0,3,1,0,2,58,2018,4,5,4,0.0,0.0,0.0,153.0,1,1
2,0,2,4,0,0,0,160,2018,4,27,4,0.0,0.0,0.0,90.0,0,0
2,0,0,3,0,0,2,130,2018,9,29,4,0.0,0.0,0.0,139.5,2,1
1,0,0,2,0,0,2,53,2018,6,17,4,0.0,0.0,0.0,140.4,0,0
2,0,1,1,0,0,0,47,2018,4,11,4,0.0,0.0,0.0,105.3,0,0
2,0,2,3,0,0,0,102,2018,11,17,4,0.0,0.0,0.0,85.0,2,0
2,0,2,0,3,0,0,26,2018,10,9,4,0.0,0.0,0.0,119.0,1,0
1,0,0,1,0,0,0,6,2018,5,12,2,0.0,0.0,0.0,129.0,0,1
2,0,1,0,0,1,0,74,2018,8,28,4,0.0,0.0,0.0,135.9,0,1
1,0,0,3,0,0,2,9,2018,7,13,4,0.0,0.0,0.0,166.0,1,1
2,0,0,2,3,0,0,125,2018,6,17,4,0.0,0.0,0.0,116.1,1,1
2,0,1,1,3,1,0,220,2018,8,15,4,0.0,0.0,0.0,99.0,1,1
2,0,2,2,0,0,2,76,2018,4,30,4,0.0,0.0,0.0,132.6,0,1
1,0,1,0,0,0,0,0,2018,8,1,2,0.0,0.0,0.0,65.0,1,1
2,0,2,3,0,0,0,256,2018,10,16,4,0.0,0.0,0.0,100.75,0,0
1,0,2,1,0,0,0,116,2018,2,28,3,0.0,0.0,0.0,61.0,0,0
2,0,1,3,3,0,0,40,2018,1,14,4,0.0,0.0,0.0,69.5,1,1
2,0,1,1,0,0,0,1,2017,8,8,4,0.0,0.0,0.0,90.0,2,1
2,0,2,5,0,0,2,51,2018,8,29,4,0.0,0.0,0.0,123.3,0,1
2,0,1,2,3,0,0,59,2018,6,27,4,0.0,0.0,0.0,101.1,0,0
2,0,2,1,3,0,0,3,2017,10,10,4,0.0,0.0,0.0,116.4,0,1
2,0,0,1,3,0,0,0,2018,6,30,4,0.0,0.0,0.0,107.0,0,1
1,0,1,1,3,0,0,13,2018,11,7,4,0.0,0.0,0.0,134.75,1,1
2,0,2,2,0,0,0,11,2017,10,23,3,0.0,0.0,0.0,88.5,0,1
2,2,2,1,0,0,4,17,2018,3,26,4,0.0,0.0,0.0,224.33,0,0
1,0,1,2,0,0,0,224,2017,10,2,4,0.0,0.0,0.0,0.0,0,1
1,0,0,3,0,0,0,8,2017,9,29,2,0.0,0.0,0.0,65.0,0,1
2,0,2,2,0,0,0,4,2018,2,12,3,0.0,0.0,0.0,85.0,0,1
1,0,0,3,0,0,0,166,2018,11,1,3,0.0,0.0,0.0,110.0,0,0
2,0,2,1,1,0,0,128,2018,6,26,3,0.0,0.0,0.0,142.25,0,1
2,0,0,2,0,0,0,235,2018,9,28,4,0.0,0.0,0.0,97.71,0,0
2,0,0,3,0,0,0,12,2017,8,5,2,0.0,0.0,0.0,65.0,0,1
2,0,1,1,0,0,0,3,2018,3,7,4,0.0,0.0,0.0,103.0,0,1
2,0,0,1,3,0,0,63,2018,6,9,4,0.0,0.0,0.0,109.0,1,1
1,0,1,1,0,0,0,0,2017,10,12,1,0.6931471805599453,0.0,2.1972245773362196,0.0,1,1
2,0,0,1,3,0,0,0,2018,12,23,4,0.6931471805599453,0.0,1.9459101490553132,80.0,0,1
2,0,1,2,0,0,0,64,2018,7,18,4,0.0,0.0,0.0,81.08,1,1
2,0,2,0,1,0,0,386,2018,10,23,3,0.0,0.0,0.0,115.0,1,0
3,0,1,4,0,0,0,184,2018,7,11,3,0.0,0.0,0.0,96.9,1,1
2,0,2,4,0,0,0,79,2018,3,30,4,0.0,0.0,0.0,82.45,0,0
2,0,1,3,0,0,0,57,2018,10,17,4,0.0,0.0,0.0,128.0,1,1
1,0,2,1,1,0,0,122,2018,3,27,3,0.0,0.0,0.0,86.0,1,1
2,0,2,5,0,0,2,19,2017,10,29,4,0.0,0.0,0.0,115.11,1,1
2,0,2,3,1,0,0,52,2018,12,3,4,0.0,0.0,0.0,120.7,1,1
2,0,0,2,0,1,0,30,2018,7,12,4,0.0,0.0,0.0,144.9,1,1
1,0,1,3,0,0,0,120,2018,5,12,4,0.0,0.0,0.0,110.59,0,0
2,0,0,3,3,0,0,161,2018,3,15,4,0.0,0.0,0.0,60.98,1,1
2,0,2,2,0,0,0,65,2018,10,16,3,0.0,0.0,0.0,80.75,0,1
2,0,1,4,1,0,0,88,2018,5,9,3,0.0,0.0,0.0,105.0,0,1
2,0,0,4,3,0,0,31,2018,8,30,4,0.0,0.0,0.0,99.0,0,0
1,0,2,3,0,0,0,90,2018,3,6,4,0.0,0.0,0.0,74.95,0,1
2,0,1,4,0,0,0,259,2018,12,28,4,0.0,0.0,0.0,131.43,2,1
2,0,0,1,0,0,0,18,2018,1,16,4,0.0,0.0,0.0,89.0,1,1
2,0,2,5,0,0,0,114,2017,11,30,3,0.0,0.0,0.0,41.43,0,1
2,0,1,3,0,0,0,193,2018,8,18,4,0.0,0.0,0.0,99.45,1,1
2,2,0,3,0,0,4,55,2018,10,6,4,0.0,0.0,0.0,190.8,0,0
2,0,2,3,3,0,1,34,2017,10,15,4,0.0,0.0,0.0,94.3,0,1
2,0,1,2,0,0,0,203,2018,8,26,3,0.0,0.0,0.0,72.25,0,1
2,0,0,1,0,0,0,0,2017,11,6,4,0.0,0.0,0.0,95.0,1,1
2,0,0,1,1,0,2,4,2018,3,5,4,0.0,0.0,0.0,156.0,1,1
2,0,1,2,0,0,0,100,2018,3,25,4,0.0,0.0,0.0,93.3,1,0
2,0,0,2,3,0,0,40,2018,9,6,4,0.0,0.0,0.0,87.3,1,1
2,0,0,3,1,0,0,150,2018,6,16,3,0.0,0.0,0.0,90.0,1,1
2,0,2,1,0,0,2,27,2018,11,12,4,0.0,0.0,0.0,119.33,1,1
1,0,1,1,0,0,0,45,2018,11,19,4,0.0,0.0,0.0,86.4,0,0
2,0,1,0,0,0,0,13,2018,3,20,3,0.0,0.0,0.0,85.0,1,1
2,0,1,3,3,0,0,64,2018,11,7,4,0.0,0.0,0.0,121.72,0,1
2,0,2,0,1,0,0,108,2018,5,8,3,0.0,0.0,0.0,110.75,0,0
2,0,2,5,3,0,0,104,2018,5,11,4,0.0,0.0,0.0,109.65,0,0
2,0,1,3,0,0,0,130,2018,4,18,4,0.0,0.0,0.0,84.15,0,1
